"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Comment[Run Number]"	"Parameter Value[Separation Type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation Column Model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ionization Polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass Analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Raw Data File Name]"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Comment[Data dictionary file]"
"TSY_blank"	"metabolite extraction"	"TSY_blank_037"	"metabolomics labeling"	"TSY_blank_037"	""	""	""	"metabolomics mass spectrometry"	"14"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa14_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep1"	"metabolite extraction"	"FLT_BS-A1_Pellet"	"metabolomics labeling"	"FLT_BS-A1_Pellet_019"	""	""	""	"metabolomics mass spectrometry"	"26"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa26_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep2"	"metabolite extraction"	"FLT_BS-A2_Pellet"	"metabolomics labeling"	"FLT_BS-A2_Pellet_020"	""	""	""	"metabolomics mass spectrometry"	"4"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa04_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep3"	"metabolite extraction"	"FLT_BS-A3_Pellet"	"metabolomics labeling"	"FLT_BS-A3_Pellet_021"	""	""	""	"metabolomics mass spectrometry"	"12"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa12_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep4"	"metabolite extraction"	"FLT_BS-A4_Pellet"	"metabolomics labeling"	"FLT_BS-A4_Pellet_022"	""	""	""	"metabolomics mass spectrometry"	"25"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa25_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep5"	"metabolite extraction"	"FLT_BS-A5_Pellet"	"metabolomics labeling"	"FLT_BS-A5_Pellet_023"	""	""	""	"metabolomics mass spectrometry"	"21"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa21_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep6"	"metabolite extraction"	"FLT_BS-C1_Pellet"	"metabolomics labeling"	"FLT_BS-C1_Pellet_024"	""	""	""	"metabolomics mass spectrometry"	"7"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa07_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep7"	"metabolite extraction"	"FLT_BS-C2_Pellet"	"metabolomics labeling"	"FLT_BS-C2_Pellet_025"	""	""	""	"metabolomics mass spectrometry"	"1"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa01_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep8"	"metabolite extraction"	"FLT_BS-C3_Pellet"	"metabolomics labeling"	"FLT_BS-C3_Pellet_026"	""	""	""	"metabolomics mass spectrometry"	"15"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa15_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_FLT_Rep9"	"metabolite extraction"	"FLT_BS-C4_Pellet"	"metabolomics labeling"	"FLT_BS-C4_Pellet_027"	""	""	""	"metabolomics mass spectrometry"	"18"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa18_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep1"	"metabolite extraction"	"GC_BS-A1_Pellet"	"metabolomics labeling"	"GC_BS-A1_Pellet_028"	""	""	""	"metabolomics mass spectrometry"	"24"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa24_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep2"	"metabolite extraction"	"GC_BS-A2_Pellet"	"metabolomics labeling"	"GC_BS-A2_Pellet_029"	""	""	""	"metabolomics mass spectrometry"	"28"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa28_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep3"	"metabolite extraction"	"GC_BS-A3_Pellet"	"metabolomics labeling"	"GC_BS-A3_Pellet_030"	""	""	""	"metabolomics mass spectrometry"	"17"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa17_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep4"	"metabolite extraction"	"GC_BS-A4_Pellet"	"metabolomics labeling"	"GC_BS-A4_Pellet_031"	""	""	""	"metabolomics mass spectrometry"	"33"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa33_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep5"	"metabolite extraction"	"GC_BS-A5_Pellet"	"metabolomics labeling"	"GC_BS-A5_Pellet_032"	""	""	""	"metabolomics mass spectrometry"	"30"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa30_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep6"	"metabolite extraction"	"GC_BS-C1_Pellet"	"metabolomics labeling"	"GC_BS-C1_Pellet_033"	""	""	""	"metabolomics mass spectrometry"	"9"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa09_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep7"	"metabolite extraction"	"GC_BS-C2_Pellet"	"metabolomics labeling"	"GC_BS-C2_Pellet_034"	""	""	""	"metabolomics mass spectrometry"	"6"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa06_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep8"	"metabolite extraction"	"GC_BS-C3_Pellet"	"metabolomics labeling"	"GC_BS-C3_Pellet_035"	""	""	""	"metabolomics mass spectrometry"	"37"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa37_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_GC_Rep9"	"metabolite extraction"	"GC_BS-C4_Pellet"	"metabolomics labeling"	"GC_BS-C4_Pellet_036"	""	""	""	"metabolomics mass spectrometry"	"19"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170828dngsa19_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep1"	"metabolite extraction"	"PC_BS-ASAP1_Pellet"	"metabolomics labeling"	"PC_BS-ASAP1_Pellet_045"	""	""	""	"metabolomics mass spectrometry"	"70"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa33_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep2"	"metabolite extraction"	"PC_BS-ASAP2_Pellet"	"metabolomics labeling"	"PC_BS-ASAP2_Pellet_046"	""	""	""	"metabolomics mass spectrometry"	"97"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170906dngsa10_1.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep4"	"metabolite extraction"	"PC_BS-ASAP4_Pellet"	"metabolomics labeling"	"PC_BS-ASAP4_Pellet_048"	""	""	""	"metabolomics mass spectrometry"	"41"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa04_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep1"	"metabolite extraction"	"PC_BS-FRZN8_Pellet"	"metabolomics labeling"	"PC_BS-FRZN8_Pellet_049"	""	""	""	"metabolomics mass spectrometry"	"39"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa02_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep2"	"metabolite extraction"	"PC_BS-FRZN9_Pellet"	"metabolomics labeling"	"PC_BS-FRZN9_Pellet_050"	""	""	""	"metabolomics mass spectrometry"	"65"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa28_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep3"	"metabolite extraction"	"PC_BS-FRZN10_Pellet"	"metabolomics labeling"	"PC_BS-FRZN10_Pellet_051"	""	""	""	"metabolomics mass spectrometry"	"73"	"gas chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002272"	"Agilent 6890N"	""	""	"Restek  Rtx-5Sil MS w/Intergra-Guard"	""	""	"Pegasus"	"MS"	"http://purl.obolibrary.org/obo/MS_1001803"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"positive mode"	""	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"in-source fragmentation "	""	""	"Primary Metabolomics"	"*BRIC-23_BS_raw_GC.tar.gz"	"170905dngsa36_2.cdf"	"metabolomics data transformation"	"Binbase"	"*mx 367428_NASA_bacteria cells_09-2017_submit .csv"	"*Data_Dictionary_Fiehn_laboratory_GCTOF_MS_primary_metabolism_10-15-2013_general .pdf"
