"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Comment[Run Number]"	"Parameter Value[Separation Type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Separation Column Model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ionization Polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Fragmentation type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Raw Data File name - Positive Ionization]"	"Comment[Raw Data File Name- Negative Ionization]"	"Comment[Raw Spectral Data File- Exchange format (.mzML)]"	"Comment[Raw data file name (mzML)- Positive Ionization]"	"Comment[Raw Data File name (mzML)- Negative Ionization]"	"Protocol REF"	"Normalization Name"	"Data Transformation Name"	"Comment[Peptide Database]"	"Metabolite Assignment File"	"Comment[Data dictionary file]"
"Bsub_168_cells_CTRL_ASAP_Rep3"	"metabolite extraction"	"PC_BS-ASAP3_Med"	"metabolomics labeling"	"PC_BS-ASAP3_Med_039"	""	""	""	"metabolomics mass spectrometry"	"25"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"025_posCSH_PC_BS-ASAP3_Med_039_MX349158.d"	"025_negCSH_PC_BS-ASAP3_Med_039_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"025_posCSH_PC_BS-ASAP3_Med_039_MX349158.mzML"	"025_negCSH_PC_BS-ASAP3_Med_039_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_ASAP_Rep4"	"metabolite extraction"	"PC_BS-ASAP4_Med"	"metabolomics labeling"	"PC_BS-ASAP4_Med_040"	""	""	""	"metabolomics mass spectrometry"	"96"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"096_posCSH_PC_BS-ASAP4_Med_040_MX349158.d"	"096_negCSH_PC_BS-ASAP4_Med_040_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"096_posCSH_PC_BS-ASAP4_Med_040_MX349158.mzML"	"096_negCSH_PC_BS-ASAP4_Med_040_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep1"	"metabolite extraction"	"PC_BS-FRZN8_Med"	"metabolomics labeling"	"PC_BS-FRZN8_Med_041"	""	""	""	"metabolomics mass spectrometry"	"49"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"049_posCSH_PC_BS-FRZN8_Med_041_MX349158.d"	"049_negCSH_PC_BS-FRZN8_Med_041_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"049_posCSH_PC_BS-FRZN8_Med_041_MX349158.mzML"	"049_negCSH_PC_BS-FRZN8_Med_041_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep2"	"metabolite extraction"	"PC_BS-FRZN9_Med"	"metabolomics labeling"	"PC_BS-FRZN9_Med_042"	""	""	""	"metabolomics mass spectrometry"	"88"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"088_posCSH_PC_BS-FRZN9_Med_042_MX349158.d"	"088_negCSH_PC_BS-FRZN9_Med_042_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"088_posCSH_PC_BS-FRZN9_Med_042_MX349158.mzML"	"088_negCSH_PC_BS-FRZN9_Med_042_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep3"	"metabolite extraction"	"PC_BS-FRZN10_Med"	"metabolomics labeling"	"PC_BS-FRZN10_Med_043"	""	""	""	"metabolomics mass spectrometry"	"3"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"003_posCSH_PC_BS-FRZN10_Med_043_MX349158.d"	"003_negCSH_PC_BS-FRZN10_Med_043_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"003_posCSH_PC_BS-FRZN10_Med_043_MX349158.mzML"	"003_negCSH_PC_BS-FRZN10_Med_043_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_CTRL_FRZN_Rep4"	"metabolite extraction"	"PC_BS-FRZN11_Med"	"metabolomics labeling"	"PC_BS-FRZN11_Med_044"	""	""	""	"metabolomics mass spectrometry"	"41"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"041_posCSH_PC_BS-FRZN11_Med_044_MX349158.d"	"041_negCSH_PC_BS-FRZN11_Med_044_MX349158.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"041_posCSH_PC_BS-FRZN11_Med_044_MX349158.mzML"	"041_negCSH_PC_BS-FRZN11_Med_044_MX349158.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep1"	"metabolite extraction"	"FLT_BS-A1_Pellet"	"metabolomics labeling"	"FLT_BS-A1_Pellet_019"	""	""	""	"metabolomics mass spectrometry"	"8"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"008_posCSH_FLT_BS-A1_Pellet_019_MX340473.d"	"008_negCSH_FLT_BS-A1_Pellet_019_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"008_posCSH_FLT_BS-A1_Pellet_019_MX340473.mzML"	"008_negCSH_FLT_BS-A1_Pellet_019_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep2"	"metabolite extraction"	"FLT_BS-A2_Pellet"	"metabolomics labeling"	"FLT_BS-A2_Pellet_020"	""	""	""	"metabolomics mass spectrometry"	"1"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"001_posCSH_FLT_BS-A2_Pellet_020_MX340473.d"	"001_negCSH_FLT_BS-A2_Pellet_020_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"001_posCSH_FLT_BS-A2_Pellet_020_MX340473.mzML"	"001_negCSH_FLT_BS-A2_Pellet_020_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep3"	"metabolite extraction"	"FLT_BS-A3_Pellet"	"metabolomics labeling"	"FLT_BS-A3_Pellet_021"	""	""	""	"metabolomics mass spectrometry"	"11"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"011_posCSH_FLT_BS-A3_Pellet_021_MX340473.d"	"011_negCSH_FLT_BS-A3_Pellet_021_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"011_posCSH_FLT_BS-A3_Pellet_021_MX340473.mzML"	"011_negCSH_FLT_BS-A3_Pellet_021_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep4"	"metabolite extraction"	"FLT_BS-A4_Pellet"	"metabolomics labeling"	"FLT_BS-A4_Pellet_022"	""	""	""	"metabolomics mass spectrometry"	"43"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"043_posCSH_FLT_BS-A4_Pellet_022_MX340473.d"	"043_negCSH_FLT_BS-A4_Pellet_022_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"043_posCSH_FLT_BS-A4_Pellet_022_MX340473.mzML"	"043_negCSH_FLT_BS-A4_Pellet_022_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep5"	"metabolite extraction"	"FLT_BS-A5_Pellet"	"metabolomics labeling"	"FLT_BS-A5_Pellet_023"	""	""	""	"metabolomics mass spectrometry"	"100"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"100_posCSH_FLT_BS-A5_Pellet_023_MX340473.d"	"100_negCSH_FLT_BS-A5_Pellet_023_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"100_posCSH_FLT_BS-A5_Pellet_023_MX340473.mzML"	"100_negCSH_FLT_BS-A5_Pellet_023_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep6"	"metabolite extraction"	"FLT_BS-C1_Pellet"	"metabolomics labeling"	"FLT_BS-C1_Pellet_024"	""	""	""	"metabolomics mass spectrometry"	"76"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"076_posCSH_FLT_BS-C1_Pellet_024_MX340473.d"	"076_negCSH_FLT_BS-C1_Pellet_024_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"076_posCSH_FLT_BS-C1_Pellet_024_MX340473.mzML"	"076_negCSH_FLT_BS-C1_Pellet_024_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep7"	"metabolite extraction"	"FLT_BS-C2_Pellet"	"metabolomics labeling"	"FLT_BS-C2_Pellet_025"	""	""	""	"metabolomics mass spectrometry"	"47"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"047_posCSH_FLT_BS-C2_Pellet_025_MX340473.d"	"047_negCSH_FLT_BS-C2_Pellet_025_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"047_posCSH_FLT_BS-C2_Pellet_025_MX340473.mzML"	"047_negCSH_FLT_BS-C2_Pellet_025_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep8"	"metabolite extraction"	"FLT_BS-C3_Pellet"	"metabolomics labeling"	"FLT_BS-C3_Pellet_026"	""	""	""	"metabolomics mass spectrometry"	"61"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"061_posCSH_FLT_BS-C3_Pellet_026_MX340473.d"	"061_negCSH_FLT_BS-C3_Pellet_026_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"061_posCSH_FLT_BS-C3_Pellet_026_MX340473.mzML"	"061_negCSH_FLT_BS-C3_Pellet_026_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_FLT_Rep9"	"metabolite extraction"	"FLT_BS-C4_Pellet"	"metabolomics labeling"	"FLT_BS-C4_Pellet_027"	""	""	""	"metabolomics mass spectrometry"	"66"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"066_posCSH_FLT_BS-C4_Pellet_027_MX340473.d"	"066_negCSH_FLT_BS-C4_Pellet_027_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"066_posCSH_FLT_BS-C4_Pellet_027_MX340473.mzML"	"066_negCSH_FLT_BS-C4_Pellet_027_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep1"	"metabolite extraction"	"GC_BS-A1_Pellet"	"metabolomics labeling"	"GC_BS-A1_Pellet_028"	""	""	""	"metabolomics mass spectrometry"	"87"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"087_posCSH_GC_BS-A1_Pellet_028_MX340473.d"	"087_negCSH_GC_BS-A1_Pellet_028_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"087_posCSH_GC_BS-A1_Pellet_028_MX340473.mzML"	"087_negCSH_GC_BS-A1_Pellet_028_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep2"	"metabolite extraction"	"GC_BS-A2_Pellet"	"metabolomics labeling"	"GC_BS-A2_Pellet_029"	""	""	""	"metabolomics mass spectrometry"	"89"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"089_posCSH_GC_BS-A2_Pellet_029_MX340473.d"	"089_negCSH_GC_BS-A2_Pellet_029_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"089_posCSH_GC_BS-A2_Pellet_029_MX340473.mzML"	"089_negCSH_GC_BS-A2_Pellet_029_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep3"	"metabolite extraction"	"GC_BS-A3_Pellet"	"metabolomics labeling"	"GC_BS-A3_Pellet_030"	""	""	""	"metabolomics mass spectrometry"	"40"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"040_posCSH_GC_BS-A3_Pellet_030_MX340473.d"	"040_negCSH_GC_BS-A3_Pellet_030_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"040_posCSH_GC_BS-A3_Pellet_030_MX340473.mzML"	"040_negCSH_GC_BS-A3_Pellet_030_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep4"	"metabolite extraction"	"GC_BS-A4_Pellet"	"metabolomics labeling"	"GC_BS-A4_Pellet_031"	""	""	""	"metabolomics mass spectrometry"	"54"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"054_posCSH_GC_BS-A4_Pellet_031_MX340473.d"	"054_negCSH_GC_BS-A4_Pellet_031_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"054_posCSH_GC_BS-A4_Pellet_031_MX340473.mzML"	"054_negCSH_GC_BS-A4_Pellet_031_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep5"	"metabolite extraction"	"GC_BS-A5_Pellet"	"metabolomics labeling"	"GC_BS-A5_Pellet_032"	""	""	""	"metabolomics mass spectrometry"	"29"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"029_posCSH_GC_BS-A5_Pellet_032_MX340473.d"	"029_negCSH_GC_BS-A5_Pellet_032_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"029_posCSH_GC_BS-A5_Pellet_032_MX340473.mzML"	"029_negCSH_GC_BS-A5_Pellet_032_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
"Bsub_168_cells_GC_Rep6"	"metabolite extraction"	"GC_BS-C1_Pellet"	"metabolomics labeling"	"GC_BS-C1_Pellet_033"	""	""	""	"metabolomics mass spectrometry"	"94"	"liquid chromatography separation"	"MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"Agilent 1290 Infinity "	""	""	"ACQUITY UPLC CSH C18 Column "	""	""	"Agilent Quadropole - Time of Flight 6530 "	""	""	"Electro-spray Ionization"	""	""	"Positive and Negative"	""	""	"collision-induced dissociation"	"MS"	"http://purl.obolibrary.org/obo/MS_1000133"	"Q-Tof"	""	""	"Lipidomics "	"*BRIC-23_BS_LC_raw.tar.gz"	"094_posCSH_GC_BS-C1_Pellet_033_MX340473.d"	"094_negCSH_GC_BS-C1_Pellet_033_MX340473.d"	"*BRIC-23_BS_LC_raw_mzML.tar.gz"	"094_posCSH_GC_BS-C1_Pellet_033_MX340473.mzML"	"094_negCSH_GC_BS-C1_Pellet_033_MX340473.mzML"	"metabolomics data transformation"	""	"MS-Dial"	"Lipid blast and MSP library"	"*mx 340473_349158_CSH-QTOF MSMS_lipidomics_09-2017_submit.csv"	"*Data Dictionary Fiehn laboratory_Lipidomics_CSH QTOF lipidomics .pdf"
